Cnt	emplID	CUM_GPA
1	217436	3.23
1	135766	3.24
1	216333	3.25
1	213633	3.26
1	174376	3.28
1	209882	3.28
1	211685	3.28
1	213619	3.28
1	135544	3.3
1	178229	3.31
1	135536	3.32
1	182275	3.32
1	177009	3.33
1	215652	3.35
2	217163	3.36
1	216506	3.4
1	181949	3.41
1	211363	3.41
1	227336	3.41
1	152978	3.42
2	154956	3.43
1	165319	3.43
2	215410	3.43
5	182215	3.45
2	185296	3.45
2	203347	3.46
1	213144	3.47
1	170289	3.48
1	208266	3.48
1	214370	3.49
1	217718	3.5
1	216714	3.51
2	194856	3.53
2	151376	3.54
1	206876	3.54
1	211879	3.54
2	184776	3.56
1	214397	3.56
1	197105	3.57
1	194878	3.58
2	170876	3.59
2	184220	3.59
1	207752	3.6
2	210182	3.62
2	150330	3.63
1	231566	3.64
2	231569	3.64
1	222912	3.66
1	187930	3.68
1	185861	3.71
1	213812	3.72
1	184139	3.73
2	188613	3.75
1	213680	3.75
2	213905	3.76
1	213960	3.76
2	186632	3.79
1	216592	3.79
2	207705	3.8
2	186154	3.81
1	192124	3.81
2	155628	3.82
1	213126	3.82
1	196339	3.84
2	216586	3.84
1	217072	3.85
1	227286	3.85
1	227350	3.85
3	227297	3.87
1	137071	3.88
1	196583	3.88
2	210963	3.88
2	215179	3.88
1	216271	3.88
1	227266	3.88
2	212738	3.89
3	147113	3.9
1	156060	3.92
3	213677	3.92
2	184882	3.93
1	180426	3.94
1	214790	3.96
2	192109	3.98
1	197078	3.98
2	208372	3.98
1	213583	4
1	215328	4
2	227332	4
1	173530	2.25
1	180683	2.35
2	153165	2.39
1	211833	2.6
2	217233	2.64
1	184184	2.68
1	191365	2.7
3	214899	2.8
1	138446	2.87
1	208543	2.88
1	181093	2.94
2	185321	2.94
1	231540	2.95
1	188404	2.96
1	216914	2.97
1	214545	3
1	177346	3.05
2	198427	3.05
1	213409	3.05
1	206341	3.08
3	182687	3.1
1	189917	3.1
2	160573	3.11
1	214466	3.13
2	222419	3.13
1	197369	3.14
1	217049	3.14
1	197324	3.17
2	214295	3.17
2	202422	3.18
1	198657	3.2
1	186452	3.21
1	216581	3.21
1	180446	3.22
1	201694	3.23
1	213669	3.24
1	214038	3.25
3	191223	3.28
1	217034	3.3
1	231623	3.31
1	215895	3.32
1	185375	3.33
1	197000	3.33
1	208416	3.33
1	149658	3.34
1	200922	3.35
1	217890	3.35
1	231658	3.36
1	202277	3.37
2	215175	3.39
1	186609	3.4
1	215611	3.42
1	217713	3.42
3	150421	3.44
1	194711	3.44
1	210296	3.48
3	131633	3.49
2	185153	3.49
1	196789	3.5
1	211588	3.5
1	217433	3.5
1	150117	3.51
1	182235	3.51
1	148653	3.52
2	202125	3.52
1	139263	3.53
2	215587	3.53
2	219840	3.54
1	217360	3.55
1	209451	3.56
2	204104	3.57
1	213988	3.57
2	217005	3.57
1	214220	3.58
1	167165	3.6
1	187292	3.62
2	188253	3.62
1	139600	3.63
3	217341	3.63
1	201963	3.65
1	210761	3.65
1	146758	3.66
2	196288	3.66
1	231558	3.66
2	189992	3.67
1	227234	3.67
1	152450	3.68
1	215960	3.68
1	139441	3.69
2	185992	3.69
1	186102	3.7
1	211193	3.7
1	187110	3.71
6	197247	3.71
1	154912	3.73
1	182750	3.73
1	186461	3.74
2	213094	3.77
1	155312	3.8
1	214449	3.8
2	216136	3.8
1	213273	3.81
1	216871	3.83
1	218976	3.83
1	207849	3.85
1	209170	3.85
2	220567	3.85
1	227298	3.87
2	181783	3.88
1	216532	3.88
3	216296	3.89
1	193883	3.91
3	227228	3.91
2	197653	3.92
2	211758	3.94
2	214895	3.96
4	215252	3.96
1	215923	3.96
1	216466	3.96
1	216546	4
2	237688	4
1	245580	4
1	188559	1.73
2	214722	1.84
1	192476	2.34
1	216948	2.38
2	214328	2.49
2	211871	2.63
4	178560	2.68
3	225119	2.73
1	217014	2.77
1	153135	2.88
1	216624	2.93
2	148546	2.98
1	182440	2.99
1	214508	3
1	207524	3.02
1	182845	3.03
1	152081	3.1
1	215922	3.12
1	180665	3.15
1	179862	3.17
1	200519	3.19
1	211517	3.19
2	183895	3.2
2	214869	3.2
1	216373	3.2
2	197283	3.27
1	207891	3.28
1	187820	3.29
2	212095	3.29
1	216139	3.3
1	138442	3.31
2	172684	3.31
1	213609	3.31
1	206964	3.32
1	214283	3.32
1	145373	3.33
1	196928	3.33
2	214079	3.33
3	215599	3.34
1	216328	3.34
1	180938	3.35
1	198237	3.35
1	182676	3.37
1	183643	3.37
2	213721	3.37
2	217760	3.37
1	205085	3.38
1	214920	3.39
1	211345	3.4
1	183876	3.41
1	193034	3.41
2	234442	3.42
1	138538	3.44
2	173145	3.46
4	209582	3.46
1	99767	3.48
2	172727	3.48
3	216255	3.48
1	172850	3.5
1	212107	3.5
1	208751	3.51
2	198663	3.52
1	197263	3.54
3	197151	3.55
1	216141	3.55
2	208341	3.56
1	209003	3.56
1	227304	3.56
1	173485	3.57
1	177997	3.58
1	179710	3.59
2	232205	3.59
1	181060	3.6
1	181070	3.61
1	188065	3.61
1	213136	3.62
2	217358	3.62
1	185283	3.63
1	210309	3.63
2	210782	3.63
1	216880	3.63
1	197089	3.64
2	231559	3.64
1	227165	3.65
2	139170	3.66
3	207430	3.67
1	198167	3.68
3	211894	3.71
2	217141	3.71
1	186656	3.72
1	198291	3.72
1	217486	3.72
1	196741	3.74
1	197204	3.76
1	208363	3.76
2	213607	3.76
1	179294	3.77
1	197053	3.77
1	191256	3.78
1	148361	3.79
2	197117	3.79
1	188331	3.8
1	216745	3.81
2	186638	3.83
1	196229	3.83
1	186455	3.85
2	205653	3.85
1	215906	3.85
1	215052	3.86
2	208241	3.88
2	208305	3.88
1	220120	3.88
2	231526	3.9
2	153833	3.91
1	231651	3.91
1	185313	3.92
1	216599	3.92
1	217264	3.92
1	231575	3.92
1	216269	3.93
1	177922	3.94
1	180260	3.98
2	133776	4
3	183662	4
1	146594	2.27
2	136235	2.35
1	202421	2.4
2	216921	2.4
1	177046	2.43
1	173105	2.51
1	135191	2.67
1	217759	2.69
2	214107	2.78
1	211939	2.84
3	216350	2.85
1	172638	2.96
1	231535	2.97
1	137322	2.99
1	216031	3
1	186543	3.04
1	216746	3.05
8	181382	3.06
1	207999	3.06
1	208454	3.07
3	210739	3.07
1	211468	3.07
1	218521	3.07
1	186546	3.08
1	215265	3.08
1	181326	3.09
1	181619	3.09
1	214868	3.1
1	214422	3.11
4	186008	3.12
1	203641	3.12
1	213356	3.13
2	207357	3.14
2	217725	3.15
1	111962	3.18
1	161082	3.19
1	178062	3.19
1	214735	3.21
2	209453	3.22
1	153634	3.23
1	214262	3.23
1	202283	3.25
2	214744	3.28
1	217465	3.28
2	185089	3.32
3	187316	3.32
2	187809	3.34
7	227311	3.34
2	184270	3.36
1	187759	3.37
2	209657	3.38
2	221378	3.38
1	185788	3.4
1	207868	3.4
1	208851	3.41
6	184706	3.42
2	212895	3.43
1	152627	3.44
1	220436	3.44
3	213037	3.45
1	217467	3.46
1	160635	3.47
1	200924	3.47
1	210592	3.47
1	148536	3.49
2	203859	3.49
2	217514	3.49
1	207478	3.5
2	217280	3.5
1	188284	3.52
1	209513	3.53
1	210788	3.53
1	182033	3.54
1	185041	3.54
1	208882	3.54
1	216494	3.55
1	159604	3.56
1	186202	3.56
2	141164	3.57
3	187897	3.58
2	213897	3.58
1	215603	3.59
1	184871	3.6
1	185985	3.6
1	207787	3.6
1	213156	3.6
2	173976	3.61
1	188290	3.61
2	213918	3.61
1	217484	3.61
1	172771	3.62
1	208359	3.62
1	187860	3.63
1	183747	3.65
1	209519	3.67
1	143075	3.68
1	138488	3.7
4	185458	3.7
1	159923	3.71
